S. No.,Timestamp,GAD1,GAD2,GAD3,GAD4,GAD5,GAD6,GAD7,GADE,SWL1,SWL2,SWL3,SWL4,SWL5,Platform,Hours,earnings,whyplay,League,highestleague,streams,SPIN1,SPIN2,SPIN3,SPIN4,SPIN5,SPIN6,SPIN7,SPIN8,SPIN9,SPIN10,SPIN11,SPIN12,SPIN13,SPIN14,SPIN15,SPIN16,SPIN17,Narcissism,Gender,Age,Work,Playstyle,accept,GAD_T,SWL_T,SPIN_T
1644,42054.67418,0,0,0,1,0,0,0,Not difficult at all,5,6,6,6,5,PC,14,I play for fun,having fun,Gold,NA,1,1,0,0,1,0,1,0,2,3,1,3,1,0,1,0,1,0,2,Male,18,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,1,28,15
1645,42054.67421,0,0,1,0,0,1,0,Not difficult at all,5,6,5,6,4,"Console (PS, Xbox, ...)",30,I play for fun,winning,Gold,NA,2,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,3,Male,26,Employed,Multiplayer - online - with real life friends,Accept,2,26,5
1646,42054.67425,2,0,0,3,2,0,0,Somewhat difficult,2,6,5,2,1,PC,16,I play for fun,improving,Gold 5,NA,20,2,3,1,2,1,1,0,4,0,2,2,1,0,0,1,1,2,3,Male,26,Unemployed / between jobs,Multiplayer - online - with real life friends,Accept,7,16,23
1647,42054.67425,0,0,0,0,0,1,0,Not difficult at all,2,4,4,2,1,PC,30,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",winning,gold,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Male,18,Student at school,Multiplayer - online - with real life friends,Accept,1,13,NA
1649,42054.67426,0,0,0,1,0,0,0,Not difficult at all,2,6,3,4,2,PC,10,I play for fun,improving,NA,NA,7,0,0,2,2,0,0,0,1,0,2,0,0,0,1,1,0,0,2,Male,23,Student at college / university,Multiplayer - online - with strangers,Accept,1,17,9
1650,42054.67429,2,2,2,2,2,2,2,Somewhat difficult,3,3,3,3,4,PC,20,I play for fun,improving,Silver 5,NA,10,2,1,1,2,2,1,2,2,1,1,1,1,0,1,1,1,1,3,Male,22,Student at college / university,Multiplayer - online - with real life friends,Accept,14,16,21
1651,42054.67431,1,1,1,1,1,1,1,Very difficult,3,2,3,2,1,PC,20,I play for fun,improving,Diamond,NA,10,2,2,2,2,2,2,2,2,2,2,3,2,2,3,3,3,3,1,Male,18,Unemployed / between jobs,Multiplayer - online - with strangers,Accept,7,11,39
1652,42054.67436,1,3,2,0,0,0,0,Somewhat difficult,4,2,5,7,5,PC,40,I play for fun,having fun,NA,NA,10,0,0,0,0,0,0,0,4,2,0,0,0,0,2,0,0,0,1,Male,21,Unemployed / between jobs,Multiplayer - online - with online acquaintances or teammates,Accept,6,23,8
1654,42054.67439,1,2,2,1,1,0,1,Very difficult,2,2,2,3,1,PC,7,I play for fun,having fun,NA,NA,5,1,2,1,2,3,1,0,0,1,1,3,2,1,3,2,0,0,1,Male,18,Student at school,Multiplayer - online - with real life friends,NA,8,10,23
1655,42054.6744,0,0,0,2,3,3,3,Somewhat difficult,5,6,5,4,2,PC,12,I play for fun,improving,Silver 5,NA,3,0,0,0,2,0,0,0,1,2,1,2,0,0,0,0,0,0,3,Male,21,Employed,Multiplayer - online - with real life friends,Accept,11,22,8
1656,42054.67441,1,1,1,1,0,1,1,Not difficult at all,6,6,6,6,6,PC,7,I play for fun,winning,Gold 5,NA,1,3,2,NA,3,1,1,2,3,3,1,1,1,3,1,2,1,3,2,Male,20,Student at college / university,Multiplayer - online - with strangers,Accept,6,30,NA
1657,42054.67442,0,0,1,0,0,0,0,Somewhat difficult,2,3,5,5,3,PC,20,I play for fun,having fun,Gold 4,NA,15,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,Male,39,Employed,Multiplayer - online - with online acquaintances or teammates,Accept,1,18,3
1658,42054.67443,1,0,0,0,0,0,0,Not difficult at all,3,3,4,4,7,PC,20,I play for fun,winning,Highest,NA,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,Male,18,Student at school,Multiplayer - online - with real life friends,Accept,1,21,1
1659,42054.67445,1,1,1,1,1,1,1,Not difficult at all,2,5,4,3,1,PC,20,I play for fun,improving,Gold,NA,5,2,2,1,2,3,3,4,2,1,1,0,1,3,2,3,0,3,4,Male,24,Student at college / university,Singleplayer,Accept,7,15,33
1660,42054.67446,0,0,0,0,0,0,0,NA,4,7,7,6,6,PC,7,I play for fun,relaxing,Gold 3,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Male,19,Student at school,Singleplayer,Accept,0,30,0
1661,42054.67447,1,1,1,3,0,2,1,Somewhat difficult,3,5,6,6,1,PC,10,I play for fun,having fun,Unranked,NA,6,1,2,1,3,3,2,1,2,1,2,1,0,2,2,2,1,4,1,Female,20,Student at college / university,Multiplayer - online - with strangers,Accept,9,21,30
1662,42054.67451,0,0,0,1,3,1,0,Somewhat difficult,2,2,2,2,2,PC,20,I play for fun,improving,Platinum 4,NA,30,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,Male,20,Student at college / university,Multiplayer - online - with strangers,Accept,5,10,4
1663,42054.67451,1,0,1,0,0,0,0,Not difficult at all,4,5,5,4,4,PC,28,I play for fun,improving,Diamond,NA,14,1,0,0,2,0,0,0,1,2,1,0,0,0,0,0,2,0,3,Male,20,Student at college / university,Multiplayer - online - with real life friends,Accept,2,22,9
1664,42054.67453,0,0,0,0,1,1,0,Not difficult at all,2,7,7,7,7,PC,14,I play for fun,having fun,Gold 1,NA,35,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,1,Male,18,Student at school,Multiplayer - online - with online acquaintances or teammates,Accept,2,30,5
1665,42054.67453,1,0,1,1,0,0,0,Somewhat difficult,5,7,6,5,3,PC,10,I play for fun,improving,Unranked,NA,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,Male,27,Student at college / university,Multiplayer - online - with strangers,Accept,3,26,2
1666,42054.67454,0,0,0,0,0,0,0,NA,6,7,6,5,5,PC,70,I play for fun,winning,Platinum,NA,15,0,1,0,0,0,0,4,1,0,0,0,1,2,1,1,0,3,3,Male,19,Student at college / university,Multiplayer - online - with strangers,Accept,0,29,14
1668,42054.67459,1,0,0,1,0,0,3,Somewhat difficult,5,5,4,2,1,PC,2,I play for fun,improving,gold 1,NA,10,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,4,Male,20,Student at college / university,Singleplayer,Accept,5,17,4
1670,42054.67473,0,0,0,0,0,0,0,Not difficult at all,3,2,2,2,2,PC,20,I play for fun,winning,plat 3,NA,15,1,1,1,3,2,1,0,2,0,1,3,3,0,2,1,1,1,3,Male,22,Employed,Multiplayer - online - with real life friends,Accept,0,11,23
1671,42054.67473,0,0,0,0,0,1,0,Not difficult at all,1,6,5,5,7,PC,35,I play for fun,improving,Gold 5,NA,1,0,0,0,1,1,0,0,3,0,0,4,2,0,0,0,0,0,2,Male,18,Student at school,Multiplayer - online - with online acquaintances or teammates,Accept,1,24,11
1672,42054.6748,0,0,0,1,0,1,0,Somewhat difficult,2,2,4,4,1,PC,30,for fun and beeing good at it,winning,diamond,NA,11,2,2,2,2,0,0,0,2,0,1,1,0,0,1,1,0,0,2,Male,19,Student at school,Multiplayer - online - with strangers,Accept,2,13,14
1673,42054.67482,1,0,1,0,0,1,1,Not difficult at all,4,3,5,5,2,PC,10,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Gold,NA,5,0,1,2,3,1,3,1,3,4,0,3,0,0,1,1,0,1,2,Male,21,Student at college / university,Multiplayer - online - with real life friends,Accept,4,19,24
1674,42054.67482,0,0,0,0,1,1,1,Not difficult at all,6,6,6,5,3,PC,6,I play for fun,winning,NA,NA,12,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,Male,19,Student at college / university,Multiplayer - online - with strangers,Accept,3,26,6
1675,42054.67483,0,0,0,0,0,0,0,Not difficult at all,6,7,6,6,2,PC,20,I play for fun,having fun,Gold,NA,30,1,2,1,0,0,0,0,2,0,0,3,0,0,1,1,0,0,5,Male,23,Employed,Multiplayer - online - with real life friends,Accept,0,27,11
1676,42054.67483,2,1,1,0,2,0,0,Not difficult at all,5,6,6,7,5,PC,10,I play for fun,improving,bronze 3,NA,10,0,0,0,1,2,0,0,1,1,2,3,1,0,0,0,0,0,2,Male,22,Student at college / university,Multiplayer - online - with strangers,Accept,6,29,11
1677,42054.67483,0,0,0,0,1,2,0,Not difficult at all,5,5,5,4,6,PC,7,I play for fun,winning,Platinum,NA,NA,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,Male,19,Student at college / university,Multiplayer - online - with real life friends,Accept,3,25,2
1678,42054.67485,0,0,0,0,0,0,0,Not difficult at all,1,6,7,1,1,PC,14,I play for fun,having fun,Diamond 1,NA,2,0,0,2,4,3,4,0,0,4,3,4,2,0,3,4,0,0,1,Male,19,Student at school,Multiplayer - online - with real life friends,Accept,0,16,33
1679,42054.67503,0,0,0,0,0,0,0,NA,5,6,5,3,2,PC,15,I play for fun,having fun,Diamond 5,NA,5,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,2,Male,22,Unemployed / between jobs,Multiplayer - online - with real life friends,Accept,0,21,6
1681,42054.67505,2,3,3,0,1,3,1,Somewhat difficult,5,5,3,4,1,PC,20,I play for fun,having fun,silver 3,NA,10,1,1,0,0,4,2,3,1,0,0,0,3,3,1,0,1,3,1,Male,20,Student at college / university,Multiplayer - online - with real life friends,Accept,13,18,23
1682,42054.67506,0,0,0,0,1,1,0,Not difficult at all,4,3,3,3,2,PC,28,I play for fun,having fun,NA,NA,0,0,1,1,NA,0,2,0,1,1,1,2,0,0,1,3,0,0,2,Male,18,Student at school,Multiplayer - online - with strangers,Accept,2,15,NA
1683,42054.67507,1,0,1,0,0,1,0,Not difficult at all,4,5,5,3,5,PC,25,I play for fun,having fun,Silver IV,NA,5,1,1,0,1,0,0,2,1,2,0,1,0,0,1,1,0,0,2,Male,21,Student at college / university,Multiplayer - online - with real life friends,Accept,3,22,11
1684,42054.67508,0,0,0,0,0,0,0,Not difficult at all,1,2,2,1,1,PC,70,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Platinum V,NA,10,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,2,Female,21,Student at college / university,Multiplayer - online - with real life friends,Accept,0,7,4
1685,42054.6751,1,0,0,0,1,1,0,Not difficult at all,4,6,6,5,3,PC,16,I play for fun,having fun,Silver,NA,6,1,1,NA,0,1,0,0,1,1,1,1,1,0,1,0,0,1,2,Male,21,Student at college / university,Multiplayer - online - with real life friends,Accept,3,24,NA
1686,42054.67511,0,1,1,1,0,2,1,Somewhat difficult,5,6,6,4,2,PC,20,I play for fun,having fun,NA,NA,30,2,2,2,1,1,2,1,0,2,3,1,0,2,2,3,0,2,2,Male,19,Student at college / university,Singleplayer,NA,6,23,26
1688,42054.67514,0,0,0,0,0,0,0,Not difficult at all,5,6,5,3,2,PC,30,I play for fun,having fun,Diamond 4,NA,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,Male,22,Employed,Multiplayer - online - with strangers,Accept,0,21,1
1689,42054.67515,0,0,0,0,0,1,0,Not difficult at all,4,4,3,3,4,PC,15,I play for fun,having fun,Plat 3,NA,4,1,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,4,Male,19,Student at school,Multiplayer - online - with real life friends,Accept,1,18,6
1690,42054.67517,0,0,0,0,0,0,0,NA,4,5,6,4,5,PC,12,I play for fun,having fun,NA,NA,1,0,1,0,1,1,1,0,0,2,0,1,0,0,0,1,0,1,1,Male,19,Student at college / university,Multiplayer - offline (people in the same room),Accept,0,24,9
1691,42054.67523,1,1,0,0,0,1,0,Not difficult at all,7,7,7,7,7,PC,35,I play for fun,having fun,Platinum,NA,10,1,0,1,1,2,0,4,2,0,0,0,0,0,1,0,0,1,2,Male,19,Student at college / university,Multiplayer - online - with real life friends,Accept,3,35,13
1692,42054.67524,3,3,3,3,3,3,3,Very difficult,6,7,7,6,5,PC,20,I play for fun,winning,Gold 1,NA,15,2,3,3,3,4,4,1,2,1,1,3,4,2,4,4,2,2,5,Male,21,Student at college / university,Multiplayer - online - with strangers,Accept,21,31,45
1693,42054.67528,1,0,1,0,2,0,0,Not difficult at all,4,6,6,5,4,PC,20,I play for fun,having fun,Silver II,NA,15,0,1,0,1,3,2,2,2,4,0,1,1,2,3,1,2,1,2,Male,32,Employed,Multiplayer - online - with online acquaintances or teammates,Accept,4,25,26
1694,42054.6753,1,0,0,0,0,1,0,Somewhat difficult,5,6,5,6,6,"Console (PS, Xbox, ...)",5,I play for fun,having fun,NA,NA,4,2,3,3,4,1,4,2,1,1,2,3,1,0,1,1,0,1,1,Male,22,Student at college / university,Singleplayer,Accept,2,28,30
1695,42054.67533,0,0,0,0,0,0,0,Not difficult at all,5,5,5,5,5,PC,16,I play for fun,improving,Silver 2,NA,10,2,2,2,2,0,0,0,1,3,1,NA,0,0,2,0,1,1,1,Male,32,Employed,Multiplayer - online - with strangers,Accept,0,25,NA
1696,42054.67535,1,1,1,1,0,1,1,Not difficult at all,5,5,5,3,1,PC,35,I play for fun,having fun,Gold,NA,20,0,2,1,2,0,1,0,1,4,1,4,0,0,2,4,0,3,1,Male,23,Student at college / university,Multiplayer - online - with real life friends,Accept,6,19,25
1697,42054.67536,0,2,0,3,0,0,3,Extremely difficult,1,3,1,3,4,PC,20,I earn a living by playing this game,having fun,Diamond,NA,4,0,3,4,4,1,4,3,4,4,4,4,0,1,4,2,0,3,1,Other,24,Unemployed / between jobs,Singleplayer,Accept,8,12,45
1698,42054.67537,2,1,1,0,0,3,0,Somewhat difficult,4,7,2,1,2,PC,35,I play for fun,winning,Diamond,NA,4,0,3,1,1,0,0,4,3,4,1,4,0,2,0,0,0,4,3,Male,18,Student at school,Multiplayer - online - with strangers,Accept,7,16,27
1699,42054.67538,0,0,0,0,0,0,0,NA,5,6,5,3,1,PC,20,I play for fun,having fun,Platinum,NA,2,1,0,3,1,1,1,3,3,4,0,3,0,0,1,0,0,0,2,Male,24,Employed,Multiplayer - online - with strangers,Accept,0,20,21
1700,42054.67542,0,0,0,0,0,0,0,NA,3,6,6,3,1,PC,21,I play for fun,winning,silver,NA,21,1,1,1,1,0,1,0,1,1,0,2,0,1,1,1,0,1,2,Male,21,Employed,Multiplayer - online - with real life friends,Accept,0,19,13
1701,42054.67541,1,1,2,1,3,0,1,Somewhat difficult,4,3,6,2,6,PC,35,I play for fun,improving,Platinium,NA,15,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,Male,22,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,9,21,3
1702,42054.67544,0,1,1,0,0,0,0,Not difficult at all,2,5,3,2,2,PC,30,I play for fun,improving,Gold,NA,10,0,0,0,3,2,2,2,1,3,2,0,1,0,1,2,0,1,1,Male,22,Student at college / university,Multiplayer - online - with strangers,Accept,2,14,20
1703,42054.67546,0,0,0,0,0,0,0,Not difficult at all,6,6,6,6,3,PC,12,I play for fun,having fun,NA,NA,5,1,0,2,3,2,3,0,2,3,1,3,0,0,1,2,0,0,1,Male,30,Employed,Multiplayer - online - with real life friends,Accept,0,27,23
1704,42054.67547,0,0,0,0,0,0,0,Not difficult at all,2,3,6,4,2,PC,20,I play for fun,winning,Gold 4,NA,5,1,1,1,2,1,0,1,1,1,0,1,0,0,1,0,0,0,1,Male,18,Student at college / university,Multiplayer - online - with online acquaintances or teammates,NA,0,17,11
1705,42054.67547,0,0,0,0,0,0,0,Not difficult at all,5,3,6,2,6,PC,30,I play for fun,improving,"Nope, search a job :[",NA,0,0,2,0,3,0,0,0,3,4,0,1,0,0,0,0,0,0,1,Male,21,Unemployed / between jobs,Multiplayer - online - with strangers,Accept,0,22,13
1706,42054.67549,1,1,0,0,0,0,1,Somewhat difficult,6,6,6,6,5,PC,20,I play for fun,Improving and having fun,Platinum II,NA,5,2,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3,Male,22,Student at college / university,Multiplayer - online - with real life friends,Accept,3,29,7
1707,42054.67558,1,0,1,0,0,0,0,Not difficult at all,5,7,7,5,5,PC,9,I play for fun,improving,Gold 1,NA,2,2,0,1,1,0,0,0,0,0,1,0,0,0,0,2,0,0,1,Male,19,Student at college / university,Multiplayer - online - with real life friends,Accept,2,29,7
1708,42054.67563,1,0,0,0,0,1,0,Somewhat difficult,5,4,4,3,3,PC,20,I play for fun,improving,diamond V,NA,6,2,1,1,0,1,2,0,1,1,0,0,1,0,2,2,1,0,2,Male,19,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,2,19,15
1709,42054.67564,3,3,3,3,3,3,3,Very difficult,1,1,2,1,1,PC,10,I play for fun,winning,Bronze,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Female,18,Unemployed / between jobs,Multiplayer - online - with strangers,Accept,21,6,0
1710,42054.67565,1,0,1,0,0,1,0,Not difficult at all,3,6,4,6,3,PC,25,I play for fun,improving,Placements not done yet,NA,8,1,1,0,2,1,0,1,0,0,1,0,0,0,1,2,0,2,3,Male,22,Student at college / university,Multiplayer - online - with real life friends,Accept,3,22,12
1711,42054.67572,0,2,1,0,0,0,1,Not difficult at all,2,6,2,6,3,PC,30,I play for fun and because i love competition,improving,Gold 4,NA,15,1,2,0,0,1,1,1,0,0,0,3,0,1,1,3,1,1,1,Male,22,Student at college / university,Multiplayer - online - with real life friends,Accept,4,19,16
1712,42054.67573,0,0,0,0,0,0,0,Not difficult at all,4,4,5,2,1,"Console (PS, Xbox, ...)",7,I play for fun,having fun,Gold V,NA,6,0,0,0,2,0,1,0,0,2,0,3,1,0,2,1,0,0,1,Male,23,Student at college / university,Singleplayer,Accept,0,16,12
1713,42054.67574,3,3,3,2,1,3,1,Very difficult,2,2,2,1,1,PC,25,I play for fun,winning,Platinum,NA,10,0,1,4,4,4,4,3,4,4,4,2,3,2,3,4,1,2,3,Female,21,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,16,8,49
1714,42054.67575,2,1,1,2,2,3,2,Somewhat difficult,4,5,4,5,2,PC,20,I play for fun,winning,NA,NA,1,1,1,0,0,1,1,3,0,2,0,0,0,2,1,1,0,3,3,Male,18,Employed,Multiplayer - online - with online acquaintances or teammates,Accept,13,20,16
1715,42054.67579,0,0,0,0,0,0,0,NA,6,6,7,6,7,PC,20,I play for fun,having fun,Bronze,NA,10,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,1,0,1,Female,32,Employed,Multiplayer - online - with strangers,Accept,0,32,6
1716,42054.67577,1,2,3,1,3,0,0,Not difficult at all,3,3,2,2,1,PC,40,I play competitively for a Hobby,improving,Gold 5,NA,15,1,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,1,3,Male,20,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,10,11,7
1717,42054.6758,1,0,0,0,1,0,0,Somewhat difficult,6,6,5,7,6,PC,12,I play for fun,improving,Bronze,NA,4,1,3,2,3,3,4,0,1,3,1,2,0,0,1,2,0,0,2,Male,25,Student at college / university,Multiplayer - online - with real life friends,Accept,2,30,26
1718,42054.67587,0,0,0,0,0,0,0,NA,6,5,5,6,5,PC,30,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Platinum 4,NA,5,2,1,0,1,0,1,0,0,1,0,2,0,0,1,1,0,1,1,Male,18,Student at school,Multiplayer - online - with real life friends,Accept,0,27,11
1719,42054.67588,3,3,1,0,0,0,3,Not difficult at all,5,6,5,5,2,PC,8,I play for fun,having fun,Plat 5 before reset,NA,8,0,0,1,0,1,2,1,2,3,0,1,0,0,3,4,0,0,1,Other,18,Student at college / university,Multiplayer - online - with real life friends,Accept,10,23,18
1720,42054.67589,1,1,0,0,0,0,1,Not difficult at all,6,5,6,4,3,PC,30,I play for fun,relaxing,NA,NA,4,0,1,0,1,1,0,0,2,1,1,0,0,0,1,0,0,0,2,Male,27,Employed,Multiplayer - online - with online acquaintances or teammates,Accept,3,24,8
1721,42054.67591,1,1,1,1,3,2,0,Not difficult at all,3,3,4,2,2,PC,20,I play for fun,improving,NA,NA,30,0,0,0,3,0,0,0,4,3,0,0,0,0,1,0,0,0,1,Male,22,Employed,Singleplayer,Accept,9,14,11
1722,42054.67598,2,2,2,1,1,2,2,Somewhat difficult,2,3,2,1,1,PC,80,I play for fun,having fun,NA,NA,16,3,3,3,2,3,4,2,2,4,2,4,3,2,4,4,3,2,3,Male,19,Employed,Multiplayer - online - with online acquaintances or teammates,Accept,12,9,50
1723,42054.67604,0,0,0,0,0,1,0,Not difficult at all,4,4,4,3,1,PC,20,I play for fun,having fun,unranked,NA,3,0,0,0,0,1,0,0,0,0,0,3,1,3,0,2,0,0,1,Male,32,Employed,Multiplayer - online - with online acquaintances or teammates,Accept,1,16,10
1724,42054.67608,0,0,0,0,0,0,0,Not difficult at all,6,6,7,5,6,PC,25,i am trying to get good to get money on the side,improving,silver 4,NA,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Male,20,Student at college / university,Multiplayer - online - with strangers,Accept,0,30,1
1725,42054.67609,1,1,1,0,0,1,2,Not difficult at all,1,2,2,2,1,PC,50,I play for fun,having fun,platinum III,NA,15,1,0,0,1,2,1,0,0,1,0,0,1,0,1,2,0,0,4,Male,19,Student at college / university,Multiplayer - online - with real life friends,Accept,6,8,10
1726,42054.6761,0,0,0,0,0,0,0,NA,6,7,6,6,2,PC,21,I play for fun,improving,Gold 3,NA,4,0,0,0,2,1,0,0,1,2,0,0,0,0,0,1,0,0,3,Male,21,Student at college / university,Multiplayer - online - with strangers,Accept,0,27,7
1727,42054.67612,1,3,3,2,0,1,3,Very difficult,5,6,5,5,2,PC,40,I play for fun,winning,Diamond,NA,5,3,1,1,1,0,1,0,1,1,0,2,0,2,0,0,3,0,4,Male,22,Student at college / university,Multiplayer - online - with strangers,Accept,13,23,16
1728,42054.67612,0,0,0,1,0,1,0,Not difficult at all,6,4,6,6,6,PC,20,I play for fun,improving,Silver I,NA,8,1,1,1,3,2,1,0,0,0,1,3,1,0,0,0,0,2,2,Male,18,Student at school,Multiplayer - online - with strangers,Accept,2,28,16
1729,42054.67615,1,0,0,1,0,1,0,Not difficult at all,2,3,4,2,6,PC,20,I play for fun,having fun,Platinum,NA,6,2,0,0,2,1,1,0,0,1,0,3,0,0,0,1,0,0,1,Male,22,Employed,Multiplayer - online - with online acquaintances or teammates,Accept,3,17,11
1730,42054.67619,0,0,0,0,0,1,1,Somewhat difficult,2,2,2,2,2,PC,20,I play for fun,having fun,Master Guardian 1,NA,14,1,2,2,1,2,1,3,2,3,0,3,2,0,1,1,0,1,1,Male,18,Unemployed / between jobs,Multiplayer - online - with strangers,Accept,2,10,25
1731,42054.6762,0,0,1,0,0,1,0,Not difficult at all,3,6,6,4,2,PC,10,I play for fun,having fun,platinum,NA,15,2,1,3,3,2,3,3,4,4,2,2,2,1,3,3,0,1,2,Male,18,Student at college / university,Singleplayer,Accept,2,21,39
1732,42054.6763,1,1,1,1,1,2,0,Somewhat difficult,5,6,5,4,3,PC,4,I play for fun,winning,plat 3,NA,4,1,1,1,2,2,2,1,1,2,2,1,2,2,1,1,1,1,3,Male,18,Student at school,Multiplayer - online - with strangers,Accept,7,23,24
1733,42054.6763,0,0,0,0,1,1,0,Somewhat difficult,2,2,5,3,4,PC,25,I play for fun,having fun,Bronze V,NA,15,0,2,0,1,0,2,1,0,0,2,3,1,2,2,3,2,4,4,Male,18,Student at school,Multiplayer - online - with online acquaintances or teammates,Accept,2,16,25
1734,42054.67632,2,0,3,0,0,2,1,Somewhat difficult,3,2,1,1,1,PC,49,I play for fun,having fun,Silver 2,NA,20,2,3,1,3,NA,3,4,NA,3,0,0,0,0,3,4,2,4,2,Male,18,Student at school,Multiplayer - online - with real life friends,Accept,8,8,NA
1735,42054.67633,1,0,1,0,0,1,0,Not difficult at all,3,6,6,4,3,PC,25,I play for fun,relaxing,3 of 10 in FIFA Online (FUT),NA,0,0,0,0,1,2,1,0,4,4,1,4,3,3,3,3,1,3,4,Male,22,Student at college / university,Multiplayer - online - with strangers,Accept,3,22,33
1737,42054.67635,2,2,2,2,0,0,0,Not difficult at all,6,4,6,6,5,PC,10,I play for fun,having fun,Platinum 4,NA,15,2,1,0,2,0,0,2,1,3,0,0,0,0,0,0,0,3,1,Male,21,Student at college / university,Multiplayer - online - with real life friends,Accept,8,27,14
1738,42054.67636,0,0,0,0,0,1,1,Somewhat difficult,3,6,5,3,5,PC,30,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Diamond 1,NA,15,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,3,Male,25,Unemployed / between jobs,Multiplayer - online - with strangers,Accept,2,22,4
1739,42054.67639,1,0,1,0,1,0,1,Somewhat difficult,4,5,4,3,2,PC,21,I play for fun,improving,Platinum,NA,10,0,2,0,1,1,2,1,0,1,1,2,2,1,1,1,0,1,2,Male,18,Student at college / university,Multiplayer - online - with real life friends,Accept,4,18,17
1740,42054.67647,0,0,2,1,0,2,0,Somewhat difficult,2,5,3,2,1,PC,50,I play for fun,improving,Diamond V,NA,15,1,0,1,2,2,4,1,0,1,2,2,1,1,3,4,0,0,2,Male,19,Student at college / university,Singleplayer,Accept,5,13,25
1741,42054.67652,1,1,1,2,1,1,0,Not difficult at all,4,5,6,4,3,PC,9,I play for fun,having fun,gold 1,NA,2,1,2,0,1,0,0,0,2,0,0,2,1,3,2,2,0,3,1,Male,18,Student at school,Multiplayer - online - with real life friends,Accept,7,22,19
1742,42054.67653,1,0,0,1,0,1,0,Not difficult at all,6,6,6,6,4,PC,9,I play for fun,improving,Diamond IV,NA,6,1,1,0,1,3,2,1,0,0,0,1,2,2,1,1,0,1,2,Male,18,Student at college / university,Multiplayer - online - with strangers,Accept,3,28,17
1743,42054.67654,2,2,3,0,1,3,0,Somewhat difficult,3,4,3,2,1,PC,25,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",having fun,diamond 3,NA,3,0,0,1,1,3,3,0,0,1,0,0,1,0,1,1,0,0,2,Male,20,Student at college / university,Multiplayer - online - with friends i met online and i've spoked to them,Accept,11,13,12
1744,42054.67655,0,1,1,1,0,2,1,Very difficult,3,2,4,2,6,PC,23,I play for fun,improving,Gold ,NA,19,0,2,3,3,3,1,0,2,2,2,4,2,1,4,3,0,0,2,Female,19,Unemployed / between jobs,Multiplayer - online - with online acquaintances or teammates,Accept,6,17,32
1745,42054.67659,0,0,0,0,0,1,0,Not difficult at all,5,5,6,5,3,PC,50,I earn a living by playing this game,improving,Gold 1,NA,0,0,2,0,2,0,2,0,0,2,0,2,0,0,0,0,2,0,2,Male,18,Student at college / university,Multiplayer - online - with real life friends,Accept,1,24,12
1746,42054.6766,2,1,2,2,0,1,1,Somewhat difficult,5,6,5,5,4,PC,30,I play for fun,having fun,Unranked,NA,20,0,2,3,3,3,3,0,1,1,2,1,0,4,3,3,0,0,1,Male,26,Unemployed / between jobs,Singleplayer,Accept,9,25,29
1747,42054.67662,0,0,0,0,0,0,0,NA,5,4,4,3,3,PC,20,I play for fun,having fun,-,NA,0,0,0,1,1,0,0,0,1,2,0,1,0,0,0,1,0,0,1,Male,49,Unemployed / between jobs,Multiplayer - online - with strangers,Accept,0,19,7
