S. No.,Timestamp,GAD1,GAD2,GAD3,GAD4,GAD5,GAD6,GAD7,GADE,SWL1,SWL2,SWL3,SWL4,SWL5,Platform,Hours,earnings,whyplay,League,highestleague,streams,SPIN1,SPIN2,SPIN3,SPIN4,SPIN5,SPIN6,SPIN7,SPIN8,SPIN9,SPIN10,SPIN11,SPIN12,SPIN13,SPIN14,SPIN15,SPIN16,SPIN17,Narcissism,Gender,Age,Work,Playstyle,accept,GAD_T,SWL_T,SPIN_T
22,42052.65303,3,3,3,2,0,1,3,Extremely difficult,1,1,1,2,4,PC,60,I play for fun,improving,Diamond/Master,NA,10,0,2,1,3,4,3,3,4,3,1,3,3,1,1,3,1,1,3,Male,24,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,15,9,37
23,42052.66261,0,0,0,1,1,1,0,Not difficult at all,5,7,7,7,5,PC,10,I play for fun,having fun,NA,NA,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,2,Male,33,Employed,Singleplayer,Accept,3,31,5
24,42052.66336,0,0,0,0,0,0,0,NA,7,7,7,7,7,PC,21,I play for fun,having fun,na,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Male,41,Employed,Multiplayer - online - with real life friends,Accept,0,35,0
25,42052.66394,1,1,1,2,1,2,2,Somewhat difficult,1,2,2,2,1,PC,20,I play for fun,having fun,n/a,NA,0,1,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,1,Female,25,Unemployed / between jobs,Multiplayer - online - with real life friends,Accept,10,8,47
26,42052.66637,1,0,0,1,0,1,1,Somewhat difficult,1,1,2,2,1,PC,21,I play for fun,having fun,Not Applicable.,NA,0,0,1,3,1,1,1,1,4,2,0,1,0,0,0,3,0,2,5,Male,26,Unemployed / between jobs,Singleplayer,Accept,4,7,20
27,42052.67053,0,0,0,0,0,0,0,Not difficult at all,4,3,3,3,3,PC,20,I play for fun,having fun,none,NA,0,1,1,3,2,3,3,2,2,2,3,3,3,3,3,3,0,2,3,Female,20,Student at college / university,Singleplayer,Accept,0,16,39
28,42052.67249,1,0,1,1,0,1,1,Somewhat difficult,6,6,6,3,5,PC,5,I play for fun,having fun,Bronze,NA,5,2,1,1,2,3,2,2,0,1,1,3,3,1,1,4,3,1,3,Male,36,Employed,Multiplayer - online - with strangers,Accept,5,26,31
29,42052.67252,1,0,2,1,0,0,0,Not difficult at all,5,6,4,4,5,"Console (PS, Xbox, ...)",40,I play for fun,having fun,none,NA,2,1,0,0,1,3,0,0,0,1,0,3,1,0,1,3,0,1,1,Male,19,Student at college / university,Multiplayer - online - with real life friends,Accept,4,24,15
30,42052.68109,0,0,0,0,0,1,0,Not difficult at all,5,6,6,6,2,PC,6,I play for fun,having fun,n/a,NA,0,0,2,1,2,0,1,1,0,1,1,0,1,0,1,1,0,0,3,Male,18,Student at school,Multiplayer - offline (people in the same room),Accept,1,25,12
31,42052.68394,1,0,1,1,1,2,0,Not difficult at all,5,5,3,2,1,PC,9,I play for fun,having fun,n/a,NA,0,0,3,0,1,0,1,2,2,1,0,0,0,1,1,1,0,1,2,Male,18,Student at school,Multiplayer - online - with online acquaintances or teammates,Accept,6,16,14
32,42052.69086,3,3,3,3,2,0,1,Extremely difficult,1,1,2,2,2,PC,18,I play for fun,having fun,none,NA,4,2,2,3,3,3,4,2,3,3,2,3,3,2,3,3,2,3,2,Male,20,Student at college / university,Singleplayer,Accept,15,8,46
33,42052.69539,1,0,1,0,0,0,0,Not difficult at all,5,5,6,6,5,PC,8,I play for fun,having fun,None,NA,0,1,1,2,2,0,0,0,0,1,0,1,0,1,0,0,0,2,1,Male,26,Employed,Multiplayer - online - with strangers,Accept,2,27,11
34,42052.69547,0,0,0,0,0,0,0,NA,5,2,6,7,6,PC,9,I play for fun,improving,Silver 4,NA,2,2,2,2,3,4,3,4,0,1,2,3,3,0,3,2,2,3,4,Female,23,Employed,Multiplayer - online - with real life friends,Accept,0,26,39
35,42052.70229,0,0,0,0,0,2,0,Somewhat difficult,5,6,6,6,2,PC,6,I play for fun,winning,Gold,NA,8,0,3,4,4,4,4,4,4,4,4,4,2,4,4,4,3,4,1,Female,22,Unemployed / between jobs,Multiplayer - online - with strangers,Accept,2,25,60
36,42052.70754,0,0,0,0,0,1,0,Not difficult at all,2,4,6,6,3,PC,7,I play for fun,having fun,Gold,NA,4,0,1,3,2,1,1,3,2,1,1,2,2,1,2,3,1,3,2,Male,25,Student at college / university,Multiplayer - online - with strangers,Accept,1,21,29
37,42052.7208,1,1,0,0,0,1,1,Somewhat difficult,5,5,5,3,6,PC,18,I play for fun,having fun,None,NA,3,0,1,0,0,0,1,0,0,1,0,2,NA,2,1,1,0,1,1,Female,22,Student at college / university,Multiplayer - online - with real life friends,Accept,4,24,NA
38,42052.72589,2,2,2,2,2,2,2,Somewhat difficult,3,4,2,2,2,"Console (PS, Xbox, ...)",18,I play for fun,improving,N/A,NA,1,1,0,2,2,0,0,1,2,2,0,1,0,0,2,0,0,0,3,Male,24,Student at college / university,Singleplayer,Accept,14,13,13
39,42052.72893,2,1,1,2,0,0,1,Somewhat difficult,2,2,2,2,3,"Console (PS, Xbox, ...)",10,I play for fun,having fun,N/a,NA,0,1,2,2,2,1,3,3,3,4,2,4,2,1,4,3,1,3,1,Female,24,Student at college / university,Singleplayer,Accept,7,11,41
40,42052.75257,0,0,1,2,1,1,0,Somewhat difficult,6,7,6,5,3,PC,20,I play for fun,having fun,none,NA,4,0,0,1,2,0,0,1,1,2,0,0,0,0,1,0,0,0,3,Male,21,Student at college / university,Singleplayer,Accept,5,27,8
41,42052.757,2,2,2,2,2,2,2,Very difficult,3,6,4,2,2,PC,10,I play for fun,having fun,N/a,NA,0,2,1,2,1,3,1,0,1,1,2,1,3,0,1,3,0,2,2,Female,18,Student at college / university,Singleplayer,Accept,14,17,24
42,42052.77984,1,1,1,0,0,1,0,Somewhat difficult,2,2,4,4,3,PC,10,I play for fun,having fun,-,NA,0,0,1,1,1,0,1,3,1,1,0,0,0,0,0,0,0,0,1,Male,18,Student at school,Multiplayer - online - with strangers,Accept,4,15,9
43,42052.8042,0,0,0,0,0,0,0,Not difficult at all,5,3,5,5,5,PC,12,I play for fun,having fun,N/A,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,Male,27,Employed,Multiplayer - online - with strangers,Accept,0,23,1
44,42052.82394,1,1,1,1,0,2,1,Somewhat difficult,3,4,4,2,2,PC,7,I play for fun,having fun,Gold Nova,NA,2,0,1,1,1,2,2,2,1,2,0,1,1,1,0,1,0,1,2,Male,21,Student at college / university,Multiplayer - online - with real life friends,Accept,7,15,17
45,42052.82683,2,1,2,2,2,2,2,Somewhat difficult,6,7,6,6,3,"Console (PS, Xbox, ...)",5,I play for fun,winning,NA,NA,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Male,24,Student at college / university,Multiplayer - online - with real life friends,Accept,13,28,3
46,42052.83005,2,1,3,1,0,1,0,Somewhat difficult,1,4,2,2,5,PC,NA,I play for fun,winning,-,NA,10,0,3,2,1,3,1,4,4,4,0,1,3,0,4,4,0,4,3,Male,20,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,8,14,38
47,42052.83695,1,1,0,0,1,2,0,Somewhat difficult,6,5,3,3,5,PC,4,I play for fun,improving,none,NA,20,3,3,1,1,2,2,3,1,2,0,1,0,2,3,2,1,3,2,Male,18,Student at school,Singleplayer,Accept,5,22,30
48,42052.8442,2,2,2,1,0,0,0,Somewhat difficult,2,4,4,5,5,PC,20,I play for fun,relaxing,none,NA,0,3,0,3,3,1,1,0,3,3,3,1,0,0,0,0,3,0,1,Female,25,Employed,Singleplayer,Accept,7,20,24
50,42052.84958,2,2,2,2,1,0,2,Very difficult,2,2,1,3,2,PC,25,I play for fun,improving,Unranked - Low ELO,NA,35,0,2,1,2,1,2,2,1,1,1,1,0,0,1,0,0,2,3,Male,18,Student at college / university,Multiplayer - online - with strangers,Accept,11,10,17
